Name,Meaning
Charles,free man.
Charlotte,petite and feminine.
Christian,follower of Christ.
Christina,anointed one.
Christopher,Christ-bearer.
Crystal,clear ice-like glass.
Cameron,crooked or bent nose.
Carla,strong and free.
Clarence,clear and luminous.
Clarissa,very bright.
Claude,limping or stuttering.
Claudia,enclosure or gate.
Clayton,town of clay.
Clementine,merciful and mild.
Clifford,ford by cliff.
Clifton,town by cliff.
Clinton,settlement on hill.
Clive,lives near cliffs.
Cody,helpful person.
Colton,coal town.
Conrad,brave counsel.
Constance,firm and constant.
Cooper,barrel maker.
Corinne,beautiful maiden.
Cornelius,horn-colored.
Courtney,short nose.
Craig,rock or crag.
Cynthia,moon goddess.
Cyril,lordly or masterful.
Cosmo,order or world.
Chaya,life or living.
Callan,battle or rock.
Carina,dear little one.
Casimir,peacemaker.
Catalina,pure and innocent.
Cato,wise or knowing.
Cecily,blind to vanity.
Celeste,of the heavens.
Chaim,life and vitality.
Chandler,candle maker.
Channing,young wolf.
Charity,generous love.
Charlene,free woman.
Chastity,pure and modest.
Chiara,light and clear.
Chitra,bright picture.
Caitlin,pure of heart.
Caley,slender and graceful.
Calvin,bald or hairless.
Cambria,from Wales.
Camille,noble birth.
Campbell,crooked mouth.
Candace,white or glowing.
Canuto,white-haired.
Caprice,playful whim.
Cara,beloved friend.
Carey,dark or stony.
Carissa,grace or kindness.
Carl,strong man.
Carlotta,free woman.
Carlton,peasant's town.
Carmel,garden of God.
Carmelo,golden vineyard.
Carmine,vivid red.
Carol,joyous song.
Carolina,free woman.
Caroline,small and strong.
Carolyn,song of happiness.
Carsten,follower of Christ.
Carter,cart driver.
Carver,wood sculptor.
Cary,stream or river.
Casey,brave in battle.
Cash,money box.
Cassidy,curly-haired.
Cassius,vain or hollow.
Casta,pure or chaste.
Cataleya,orchid flower.
Catriona,pure woman.
Caven,handsome man.
Caya,pure or earth.
Cayden,great fighter.
Cecila,dim-sighted.
Cedrina,like cedar.
Cees,horn-shaped.
Celestine,from heaven.
Celina,moon or sky.
Celsa,lofty or high.
Cenon,hospitality.
Cephas,rock or stone.
Ceredig,beloved leader.
Ceridwen,poetry and song.
Cesare,long-haired.
Cevat,generous one.
Chace,hunter.
Chad,warrior or protector.
Chadwick,dairy farm.
Chaitan,consciousness.
Chalmers,son of lord.
Chaman,garden.
Chan,shining bright.
Chana,graciousness.
Chanda,fierce or moon.
Chandan,sandalwood.
Chandra,moon deity.
Chanel,water pipe.
Channon,wise person.
Chantel,stony place.
Chantz,good luck.
Chao,leap or jump.
Chapman,merchant.
Charaka,wanderer.
Charis,grace and beauty.
Charisma,gift of grace.
Charla,free girl.
Charlee,free person.
Charleigh,meadow of man.
Charlton,free town.
Charmaine,singer.
Chase,the hunter.
Chauncey,chancellor.
Chaz,man.
Che,God increases.
Chelle,who is like God.
Chen,morning light.
Cheney,oak forest.
Cher,beloved.
Cheri,darling.
Cherie,dear one.
Cheryl,beloved friend.
Chesley,camp meadow.
Chester,fortress.
Chet,camp.
Cheung,good luck.
Chevelle,horse.
Chevy,knight.
Cheyenne,difficult speakers.
Chiamaka,God is beautiful.
Chidike,God is strong.
Chika,God is supreme.
Chike,God's power.
Chiko,arrow or pledge.
Chilton,town by river.
Chimara,God knows.
Chin,gold or metal.
Chinaza,God answers.
Chinua,God's blessing.
Chip,man or fellow.
Chiquita,little one.
Chisom,God follows.
Chitresh,moon lord.
Chiyo,thousand generations.
Chizoba,God protects.
Chloris,pale green.
Cho,beautiful.
Chong,powerful.
Chris,anointed.
Chrissy,follower of Christ.
Christa,the anointed.
Christabel,beautiful Christian.
Christelle,follower.
Christiana,anointed.
Christie,follower of Christ.
Christoffel,Christ-bearer.
Christoper,bearer.
Christos,anointed.
Chryssa,golden flower.
Chu,pearl.
Chuck,free man.
Chukwuma,God knows.
Chun,spring season.
Churchill,hill with church.
Ciana,light.
Ciara,dark-haired.
Cicero,chickpea.
Ciel,sky or heaven.
Cierra,mountain range.
Cimarron,wild one.
Cinda,light.
Cipriano,from Cyprus.
Circe,bird.
Ciro,sun.
Cissy,blind.
Citlali,star.
Claire,clear.
Clairice,bright.
Clancy,red-haired.
Clare,clear.
Claribel,bright beauty.
Clarina,clear.
Clarinda,beautiful and clear.
Clarion,loud and clear.
Claris,bright.
Clarite,purity.
Claudette,little lame one.
Claudine,little enclosure.
Claudius,enclosure.
Clay,earth.
Cleary,scholar.
Cledwyn,blessed and rough.
Clemence,mildness.
Clemens,merciful.
Clement,kind.
Cleon,glorious.
Cleopatra,father's glory.
Cleta,illustrious.
Cleveland,land of cliffs.
Cliff,slope.
Cliona,shapely.
Clodagh,river name.
Clotilda,famous battle.
Clovis,famous warrior.
Coby,supplanter.
Codie,helpful.
Colbert,bright helmet.
Colby,coal town.
Coleen,young girl.
Coleman,dove.
Coleridge,dark ridge.
Colleen,girl.
Collette,victory.
Collier,charcoal seller.
Collin,young.
Colm,dove.
Colman,follower of Colm.
Columba,dove.
Colvert,sailor.
Colwyn,river name.
Comfort,strength.
Comgal,stranger.
Conall,strong wolf.
Conan,little wolf.
Concepcion,beginning.
Concetta,pure.
Concordia,harmony.
Conlan,hero.
conor,lover of hounds.
Conley,wise.
Connie,constant.
Conolly,fierce as wolf.
Conroy,wise man.
Consuelo,consolation.
Conway,holy water.
Cook,chef.
Corabelle,beautiful maiden.
Coralie,coral.
Corbin,raven.
Cordelia,daughter of sea.
Cordero,lamb.
Corey,hollow.
Corina,maiden.
Corisande,flower.
Corliss,cheerful.
Cornelia,horn.
Cornell,horn.
Corrado,brave.
Corrigan,spearman.
Corrine,maiden.
Cort,bold.
Cortez,courteous.
Corwin,heart friend.
Cory,pool.
Cosette,small thing.
Cosima,order.
Costa,constant.
Costas,steady.
Couper,buyer.
Coy,quiet.
Cozette,little pet.
Craddock,love.
Crandon,crane hill.
Crawford,crow's ford.
cristiano,anointed.
Creighton,town by creek.
Cressida,gold.
Crispin,curly.
Cristina,follower.
Crofton,small farm.
Cromwell,winding stream.
Crosby,cross town.
Cruz,cross.
Cullen,handsome.
Culley,woodland.
Culver,dove.
Curran,hero.
Currier,leather worker.
Curt,short.
Custis,guardian.
Cuthbert,bright fame.
Cuyler,chapel.
Cyan,blue-green.
Cybele,mother of gods.
Cybil,prophetess.
Cydney,wide island.
Cyra,throne.
Cyrah,sun.
Cyrille,noble.
Czenne,white.
Caolan,slender.
Cari,flowing water.
Cason,son of Casey.
Cayley,slender.
Ceana,God is gracious.
Ceejay,initials.
Celandine,swallow bird.
Celerina,swift.
Celestia,heavenly.
Celine,moon.
Cerf,deer.
Cezar,long hair.
Chaitanya,life force.
Chakra,wheel.
Chale,strong.
Chambliss,servant.
Chamique,God is gracious.
Chanah,grace.
Chance,luck.
Chandni,moonlight.
Channa,chickpeas.
Charan,feet.
Charit,good character.
Charle,man.
Charlon,free.
Charo,rosy.
Chartier,driver.
Chasia,shelter.
Chasina,palm tree.
Chatham,soldier's home.
Chaudhary,leader.
Chava,life.
Chavi,female calf.
Chayton,falcon.
Cheng,sincere.
Cherith,winter stream.
Chesna,peaceful.
Chesney,oak grove.
Chess,free.
Chetan,spirit.
Chi,energy.
Chia,summer.
Chika,wisdom.
Chilo,freedom.
Chima,God knows.
Chimelu,God made.
Ching,crystal.
Chinmay,supreme.
Chinto,sun.
Chiva,life.
Chizun,thousand.
Chua,snake.
Chui,leopard.
Chung,wise.
Cianna,God is gracious.
Cid,lord.
Cilla,ancient.
Cinzia,moon.
Cion,happy.
Cira,sun.
Cirilo,lordly.
Ciro,king.
Citra,image.
Claudio,boy.
Claus,victory.
Clea,glory.
Cleantha,glory flower.
Clem,kind.
Cleric,priest.
Clerice,bright.
Cletus,called.
Cleve,cliff.
Clio,muse.
Clodia,lame.
Cloe,sprout.
Cloris,green.
Cloud,sky.
Colan,cub.
Cait,pure.
Cal,bald.
Calix,cup.
Callie,beautiful.
Calogero,good old man.
Caltha,yellow flower.
Calvert,cowboy.
Caly,beautiful.
Calypso,concealer.
Cama,loved.
Camden,winding valley.
Cameo,jewelry.
Cami,helper.
Camryn,crooked.
Cana,zealous.
Candi,white.
Candida,white.
Candido,pure.
Candy,sweet.
Canice,handsome.
Cantrell,singer.
Capella,goat.
Capri,island.
Caradoc,beloved.
Carbry,charioteer.
Cardew,dark fort.
Caren,pure.
Caressa,touch.
Carha,love.
Carin,pure.
Carion,bright.
Caris,grace.
Carleigh,free.
Carlie,man.
Carlin,little champion.
Carling,hill.
Carlisle,fort.
Carlitos,little man.
Carlo,man.
Carlos,free man.
Carlson,son of Carl.
Carmelita,garden.
Carmeliza,garden.
Carmichael,friend.
Carmon,orchard.
Carnation,flower.
Carney,winner.
Carolann,song.
Carole,song.
Carolee,song.
Carolus,man.
Caron,loving.
Carr,marsh.
Carrado,advice.
Carrick,rock.
Carrie,free.
Carrigan,spear.
Carrol,man.
Carrolly,warrior.
Carson,marsh dweller.
Carsten,believer.
Cartland,land.
Carton,settlement.
Cartwright,builder.
Carwyn,blessed love.
Caryll,song.
Carys,love.
Cas,king.
Casandra,prophet.
Casper,treasurer.
Case,box.
Casen,son.
Casey,brave.
Cashlin,castle.
Casie,brave.
Casilda,home.
Casimiro,peace.
Caspar,treasurer.
Cass,helper.
Cassady,curly.
Cassidie,clever.
Cassie,pure.
Cassin,little hollow.
Cassio,vain.
Casson,son.
Cassy,helper.
Castiel,angel.
Caston,town.
Castor,beaver.
Cat,pure.
Catalin,pure.
Catani,beautiful.
Caterina,pure.
Cath,pure.
Cathal,battle.
Cathie,pure.
Cathleen,pure.
Cathryn,pure.
Dadhichi,sacrificed for others.
Daksh,capable and clever.
Damian,to tame or subdue.
Daniel,God is my judge.
Dante,enduring and steadfast.
Dara,pearl of wisdom.
Darcy,from the dark place.
Daria,rich and kingly.
Darin,gift of value.
Darius,possessing goodness.
Darshan,vision or sight.
David,beloved friend.
Dawn,first light of day.
Daya,compassion and mercy.
Deacon,messenger or servant.
Dean,valley or leader.
Debra,bee or industrious.
Declan,full of goodness.
Deepak,source of light.
Deidre,sorrowful or wanderer.
Deitra,of the earth.
Delaney,dark challenger.
Delia,noble and bright.
Delilah,delicate or weak.
Demetrius,follower of Demeter.
Denis,follower of Dionysus.
Denzel,from the high stronghold.
Deon,divine or god-like.
Derek,ruler of people.
Desmond,gracious defender.
Destiny,fate or fortune.
Dev,divine being.
Devan,god-like or poet.
Devika,little goddess.
Dexter,skillful or right-handed.
Dharam,law or duty.
Dhiren,one who is strong.
Diana,divine and heavenly.
Diego,the teacher.
Diggory,lost or astray.
Diksha,gift or initiation.
Dillon,loyal and faithful.
Dina,judged or vindicated.
Dinesh,lord of the day.
Dion,child of heaven.
Dior,golden and elegant.
Dirk,famous ruler.
Divya,divine and brilliant.
Dixon,son of Dick.
Dmitri,earth lover.
Dolores,lady of sorrows.
Dominic,belonging to God.
Donal,mighty world ruler.
Donatella,beautiful gift.
Donovan,dark-haired chieftain.
Dora,gift of God.
Dorian,from the sea.
Doris,gift of the ocean.
Dorothy,gift of God.
Douglas,dark water.
Dov,peaceful bear.
Drake,dragon or male duck.
Drew,strong and manly.
Drishti,sight or vision.
Drusilla,fruitful or dewy.
Dua,prayer or supplication.
Dudley,from the common field.
Duke,noble leader.
Dulce,sweet and pleasant.
Duncan,dark warrior.
Dustin,brave fighter.
Dwayne,little and dark.
Dwight,white or blonde.
Dylan,son of the sea.
Dymphna,eligible or fit.
Dyson,son of Dye.
Daanya,gift of God.
Dabir,teacher or secretary.
Dace,of the nobility.
Dacia,from Dacia.
Dada,curly-haired.
Dael,lives in valley.
Dafne,laurel tree.
Dagmar,day maiden.
Dagna,new day.
Dagny,new day.
Dahlia,valley flower.
Dai,large or great.
Daichi,great land.
Daisuke,great helper.
Daisy,eye of the day.
Dakari,rejoicing.
Dakota,friendly companion.
Dalan,blind or valley.
Dale,valley dweller.
Dalia,gentle branch.
Dalton,valley settlement.
Damaris,gentle girl.
Damian,tamer.
Damini,lightning.
Damon,constant friend.
Dana,wise or bright.
Danae,parched.
Danica,morning star.
Danielle,God is judge.
Danish,merciful.
Dante,steadfast.
Daphne,laurel tree.
Dara,wisdom.
Darby,deer park.
Darcy,dark.
Daria,queenly.
Darian,gift.
Darin,precious.
Dario,possessor.
Darius,kingly.
Darla,beloved.
Darlene,tenderly loved.
Darnell,hidden spot.
Darrel,beloved.
Darren,great.
Darryl,beloved.
Darsheel,cool and handsome.
Darwin,dear friend.
Daryl,beloved.
Dash,from the ash.
Dasha,gift of God.
Davina,beloved.
Davis,son of David.
Davita,cherished.
Dawson,son of David.
Dax,leader.
Dayan,judge.
Dayton,sunny town.
Deana,divine.
Deandre,manly.
Deanna,valley.
Dearbhla,true desire.
Debbie,bee.
Deborah,industrious.
Declan,goodness.
Dee,divine.
Deena,judgment.
Deep,light.
Deepak,lamp.
Deepika,little light.
Deepti,glow.
Deidra,wanderer.
Deion,godly.
Deirdre,sorrow.
Deja,already.
Dela,noble.
Delbert,bright.
Delfina,dolphin.
Delia,born on Delos.
Delilah,delicate.
Dell,valley.
Della,noble.
Delmar,of the sea.
Delores,sorrows.
Delphine,flower.
Delta,fourth.
Delwyn,proud friend.
Demarcus,polite.
Demeter,earth mother.
Demetria,of the earth.
Demi,half or small.
Demitri,earth lover.
Dempsey,proud.
Denise,divine.
Deniz,sea.
Dennis,wild.
Denny,follower.
Denver,green valley.
Denzil,fort.
Deon,divine.
Deonna,divine.
Derek,ruler.
Derick,leader.
Dermot,free man.
Dern,hidden.
Deron,bird.
Derrick,ruler.
Derry,oak grove.
Deshaun,God is gracious.
Deshi,virtuous.
Desiree,desired.
Desmond,defender.
Dessa,wandering.
Destiny,fate.
Detta,ruler.
devendra,lord of the gods.
Dev,god.
Devan,divine.
Devany,dark.
Deven,divine.
Devi,goddess.
Devin,poet.
Devon,defender.
Devyani,daughter of gods.
Dewayne,dark.
Dewey,beloved.
Dexter,skillful.
dipti,light.
Dhananjay,winner of wealth.
Dhanush,bow.
dilip,protector of the earth.
Dhara,earth.
Dharma,truth.
Dhaval,fair.
Dhir,wise.
Dhyan,meditation.
Di,divine.
Diamond,precious.
Diana,heavenly.
Diane,divine.
Dianna,divine.
Diantha,divine flower.
Didi,beloved.
Didier,desired.
Dido,wanderer.
Diego,instructor.
Dierdre,sorrow.
Dietrich,ruler.
Digby,ditch town.
Dilbert,bright.
Dilia,loyal.
Dillon,faithful.
Dilys,genuine.
Dimitri,earth lover.
Dina,judged.
Dinah,vindicated.
Dinesh,sun lord.
Dino,little sword.
Diodore,gift of Zeus.
Dion,divine.
Dionne,divine.
Diora,golden.
Dior,gold.
Dirk,ruler.
Dita,fortune.
Divina,divine.
Divya,brilliant.
Dixie,tenth.
Dixon,son.
Dmitry,earthly.
Doane,dune dweller.
Dolly,gift.
Dolores,sorrow.
Dolph,noble wolf.
Dom,lord.
Domenic,lordly.
Domingo,lord's day.
Dominick,of the lord.
Dominique,lordly.
Don,ruler.
Dona,lady.
Donal,mighty.
Donald,world ruler.
Donat,given.
Donata,gift.
Donatello,gift.
Donatella,beautiful gift.
Donathan,gift.
Donato,blessing.
Donna,lady.
Donnel,mighty.
Donnie,ruler.
Donny,proud.
Donovan,dark chieftain.
Dora,gift.
Doran,stranger.
Dorcas,gazelle.
Doreen,golden.
Doria,ocean.
Dorian,sea child.
Dorie,gift.
Doris,sea gift.
Doron,gift.
Dorothea,God's gift.
Dorothy,blessing.
Dory,gold.
Dot,gift.
Dottie,gift.
Doug,dark water.
Douglas,dark stream.
Dov,bear.
Dove,peace.
Doyle,dark stranger.
Draco,dragon.
Drake,dragon.
Draven,raven.
Dre,manly.
Drea,brave.
Drew,strong.
Driscoll,interpreter.
Druce,thicket.
Druilla,dewy.
Drummond,ridge.
Drury,beloved.
Dryden,dry valley.
Duane,dark.
Duarte,guardian.
Duc,moral.
Dudley,meadow.
Duff,dark.
Duffy,peace.
Dugan,dark.
Duke,leader.
Dulce,sweet.
Dulcie,pleasant.
Dumi,rejoicing.
Duncan,warrior.
Dunstan,stone.
Dunton,hill town.
Durant,enduring.
Durell,strong.
Duron,enduring.
Durrell,strong.
Dustin,brave.
Dusty,warrior.
Dutch,of the people.
Duvall,valley.
Dwane,dark.
Dwayne,dark.
Dwight,fair.
Dyan,divine.
Dylan,sea born.
Dylana,of the sea.
Dymphna,suitable.
Dyre,dear.
Dyson,son of Dye.
Dacia,from Dacia.
Dada,wise.
Daelen,angel.
Daena,shining.
Dafydd,beloved.
Dagan,corn.
Dagmar,bright.
Dagny,new day.
Dahl,valley.
Dahlia,flower.
Dai,great.
Daiku,great sky.
Daina,song.
Daine,valiant.
Daisuke,helper.
Daksh,perfect.
Dakota,friend.
Dale,valley.
Dalia,branch.
Dallin,valley.
Dalton,town.
Damara,gentle.
Damari,gentle.
Damaris,girl.
Damia,tame.
Damian,tamer.
Damiana,tamer.
Damien,conqueror.
Damion,tamer.
Damir,peace.
Damita,lady.
Damon,loyal.
Dan,judge.
Dana,wise.
Danae,parched.
Danell,judge.
Danette,judge.
Dani,judge.
Danica,star.
Daniel,judge.
Danilo,judge.
Danit,judge.
Danish,merciful.
Danny,judge.
Dante,enduring.
Danya,gift.
Daphne,laurel.
Dara,wisdom.
Darby,park.
Darcel,dark.
Darcey,dark.
Darcie,dark.
Darcy,dark.
Darell,beloved.
Daren,great.
Daria,queenly.
Darian,gift.
Darie,kingly.
Darien,gift.
Darin,precious.
Dario,rich.
Darius,ruler.
Darla,dear.
Darlean,beloved.
Darlene,loved.
Darline,dear.
dhanashree,wealthy.
Darnel,hidden.
Darnell,spot.
Darold,ruler.
Darra,wisdom.
Darrell,beloved.
Darren,great.
Darrin,great.
Darrion,gift.
Darrius,ruler.
Darroll,beloved.
Darry,beloved.
Darryl,beloved.
Darshan,vision.
Dart,quick.
Darton,town.
Darwin,friend.
Daryl,beloved.
Daryn,gift.
Dash,ash.
Dasha,gift.
Dashawn,gracious.
Dasi,pure.
Dass,servant.
Dathan,fountain.
Davian,beloved.
David,beloved.
Davida,beloved.
Davin,dear.
Davina,beloved.
Davine,beloved.
Davis,son.
Davita,beloved.
Davon,beloved.
Davy,beloved.
Dawes,beloved.
Dawn,morning.
Dawne,light.
Dawson,beloved.
Dax,leader.
Daxon,leader.
Daya,mercy.
Dayan,judge.
Dayna,wise.
Dayne,valiant.
Dayton,town.
Daza,radiant.
Dea,goddess.
Deacon,servant.
Dean,leader.
Deana,divine.
Deandre,brave.
Deane,valley.
Deanna,divine.
Deanne,divine.
Deante,steadfast.
Dearon,great.
Deb,industrious.
Debbie,bee.
Debby,bee.
Debora,industrious.
Deborah,bee.
Debra,industrious.
Debree,bee.
Declan,good.
Decimus,tenth.
Dede,beloved.
Dedra,sorrow.
Dedrick,ruler.
Dee,divine.
Deedee,divine.
Deena,judge.
Deep,light.
Deepak,lamp.
Deepika,light.
Deepti,glow.
Deering,beloved.
Deidra,sorrow.
Deidre,sorrow.
Deion,divine.
Deirdre,sorrow.
Deitra,earth.
Deiv,divine.
Deja,ready.
Dejuan,gracious.
Dekel,palm.
Del,noble.
Dela,noble.
Delana,noble.
Delane,dark.
Delaney,dark.
Delano,swamp.
Delany,dark.
Delbert,bright.
Delfina,dolphin.
Delia,bright.
Delilah,gentle.
Dell,valley.
Della,noble.
Delma,noble.
Delmar,sea.
Delora,sorrow.
Delores,sorrow.
Deloris,sorrow.
Delphia,dolphin.
Delphine,flower.
Delta,fourth.
Delton,town.
Delvin,friend.
Delwin,proud.
Delyth,pretty.
Demar,sea.
Demarco,polite.
Demas,popular.
Demeter,mother.
Demetra,earth.
Demetri,earthly.
Demetria,earthly.
Demetrio,earthly.
Demetris,earthly.
Demetrius,earthly.
Demi,half.
Demosthenes,strength.
Dempsey,proud.
Den,follower.
Dena,valley.
Denice,divine.
Denise,divine.
Deniz,sea.
Denmark,forest.
Dennis,wild.
Dennison,son.
Denny,follower.
Dent,tooth.
Denton,town.
Denver,valley.
Denzel,fort.
Denzil,fort.
Deon,divine.
Deonna,divine.
Deontae,steadfast.
Derek,ruler.
Derick,ruler.
Derik,ruler.
Dermot,free.
Dero,beloved.
Deron,bird.
Derren,great.
Derrian,great.
Derrick,ruler.
Derry,grove.
Dervla,true.
Derwin,friend.
Des,defender.
Desi,desired.
Desirae,desired.
Desire,desired.
Desiree,desired.
Desmond,defender.
Dessa,wanderer.
Destinee,fate.
Destiny,fate.
Detlef,people.
Detrich,ruler.
Dev,god.
Deva,divine.
Devan,divine.
Devani,divine.
Devante,steadfast.
Deven,divine.
Devere,river.
Deverell,river.
Devi,goddess.
Devin,poet.
Devina,divine.
Devine,godly.
Devon,defender.
Devona,defender.
Devonne,defender.
Devonta,steadfast.
Devora,bee.
Devorie,bee.
Devrim,revolution.
Devyn,poet.
Dewayne,dark.
Dewey,beloved.
Dewitt,white.
Dex,skillful.
Dexter,skilful.
Deya,divine.
Deza,radiant.
Dhan,wealth.
Dhara,earth.
Dharma,truth.
Dhaval,fair.
Dheer,wise.
Dhiren,strong.
Dhyan,meditation.
Di,divine.
Dia,day.
Diamond,precious.
Diana,heavenly.
Diandra,brave.
Diane,divine.
Dianna,divine.
Dianne,divine.
Diantha,flower.
Diarra,gift.
Dicky,ruler.
Diderot,desired.
Didier,desired.
Dido,wanderer.
Diego,teacher.
Dierdre,sorrow.
Dieter,army.
Dietrich,ruler.
Digby,town.
Diggory,lost.
Dilan,faithful.
Dilbert,bright.
Dillan,faithful.
Dillon,faithful.
Dilys,true.
Dima,rain.
Dimitra,earthly.
Dimitri,earthly.
Dimitris,earthly.
Dimitrios,earthly.
Dimitry,earthly.
Dina,judge.
Dinah,judge.
Dinesh,sun.
Dino,sword.
Dion,divine.
Dione,divine.
Dionne,divine.
Dionte,steadfast.
Dior,gold.
Dirk,ruler.
Dita,fortune.
Diva,goddess.
Divina,divine.
Divit,immortal.
Divya,brilliant.
Dixie,tenth.
Dixon,son.
Dmitri,earthly.
Dmitriy,earthly.
Dmitry,earthly.
Doane,dune.
Dobbin,fame.
Dodie,gift.
Dolan,dark.
Dolf,wolf.
Dolly,gift.
Dolores,sorrow.
Dolph,wolf.
Dom,lord.
Domenic,lordly.
Domenica,lordly.
Domenick,lordly.
Domenico,lordly.
Domingo,lord.
Dominic,lordly.
Dominica,lordly.
Dominick,lordly.
Dominique,lordly.
Dominy,lordly.
Don,ruler.
Dona,lady.
Donal,mighty.
Donald,ruler.
Donat,given.
Donata,gift.
Donatello,gift.
Donatella,gift.
Donathan,gift.
Donato,gift.
Donna,lady.
Donnell,mighty.
Donnie,ruler.
Donny,ruler.
Donovan,dark.
Dora,gift.
Doran,stranger.
Dorcas,gazelle.
Dore,gold.
Doreen,golden.
Dorene,gold.
Doria,ocean.
Dorian,sea.
Dorie,gift.
Doris,sea.
Doron,gift.
Dorotea,gift.
Dorotha,gift.
Dorothea,gift.
Dorothee,gift.
Dorothy,gift.
Dorr,gift.
Dorris,sea.
Dorry,gift.
Dory,gold.
Dos,given.
Dot,gift.
Dottie,gift.
Dotty,gift.
Doug,water.
Dougal,dark.
Douglas,water.
Douglass,water.
Dov,bear.
Dove,bird.
Dow,black.
Doyle,stranger.
Drace,dragon.
Draco,dragon.
Drake,dragon.
Draven,raven.
Dre,brave.
Drea,brave.
Dred,strong.
Drew,strong.
Drian,great.
Driscoll,interpreter.
Dru,strong.
Druce,thicket.
Drue,strong.
Druilla,dewy.
Druilla,dewy.
Drummond,ridge.
Drury,beloved.
Drusilla,dewy.
Dryden,valley.
Dua,prayer.
Duan,dark.
Duane,dark.
Duarte,guardian.
Duc,moral.
Dudley,meadow.
Duff,dark.
Duffy,peace.
Dugan,dark.
Duke,leader.
Dukie,leader.
Dulce,sweet.
Dulcea,sweet.
Dulci,pleasant.
Dulcia,sweet.
Dulcie,pleasant.
Dulcina,sweet.
Dulcine,sweet.
Dulcinea,sweet.
Dumi,joy.
Duncan,warrior.
Dunham,dark.
Dunley,meadow.
Dunn,dark.
Dunne,dark.
Dunstan,stone.
Dunton,town.
Durant,enduring.
Durante,steadfast.
Durell,strong.
Duron,enduring.
Durrell,strong.
Durward,guardian.
Dustin,brave.
Dusty,warrior.
Dutch,people.
Dutton,town.
Duvall,valley.
Dvorah,bee.
Dwane,dark.
Dwayne,dark.
Dwight,fair.
Dyan,divine.
Dyana,divine.
Dyane,divine.
Dyani,deer.
Dyanna,divine.
Dyanne,divine.
Dyer,guardian.
Dylan,sea.
Dylana,sea.
Dylane,sea.
Dylann,sea.
Dylon,sea.
Dymphna,suitable.
Dyre,dear.
Dyson,son.
Dyzan,strong.
dhanraj,king of wealth.

Eashan,Lord Shiva or desire.
Eaton,riverside village.
Ebbe,brave boar.
Eben,stone of help.
Ebony,dark black wood.
Echo,reverberating sound.
Edan,little fire.
Edbert,bright protector.
Eddie,wealthy guardian.
Eddy,whirlpool or vortex.
Eden,place of pleasure.
Edgar,wealthy spearman.
Edie,prosperous war.
Edison,son of Edward.
Edith,prosperous in war.
Edmond,prosperous protector.
Edmund,wealthy guardian.
Edna,pleasure or delight.
Edric,prosperous ruler.
Edward,wealthy guardian.
Edwin,prosperous friend.
Edwina,prosperous friend.
Edzo,wealthy protector.
Efan,grace of God.
Effie,well-spoken.
Egan,little fire.
Egbert,bright edge.
Egerton,edge of the town.
Egil,edge of a sword.
Egon,strong with a sword.
Eguino,brave edge.
Ehaan,expectation.
Ehan,full moon.
Eifa,faithful.
Eigyr,virgin.
Eiko,long-lived child.
Eila,earth or oak tree.
Eilan,oak tree.
Eileen,bright and shining.
Eilidh,radiant one.
Eilis,God is my oath.
Eilwen,white brow.
Eimar,noble.
Eira,snow.
Eiran,peace.
Eirene,goddess of peace.
Eirik,eternal ruler.
Eisha,desire or wish.
Eisley,cheerful.
Eitan,strong and firm.
Eithne,kernel or grain.
Ejay,initials.
Ekaja,only child.
Ekansh,whole or part.
Ekata,unity.
Ekbert,bright.
Ekene,praise.
Eko,first born.
Ekram,honor.
Ela,oak tree.
Eladio,from Greece.
Elain,fawn or hind.
Elaine,shining light.
Elan,friendly.
Elana,oak tree.
Elani,light.
Elara,moon of Jupiter.
Elayne,bright one.
Elba,from the dawn.
Elbert,noble and bright.
Elda,warrior.
Elden,valley of elves.
Elder,older.
Eldon,hill of the valley.
Eldora,covered with gold.
Eldred,old counsel.
Eldrich,sage ruler.
Eldwin,old friend.
Eleanor,bright and shining.
Eleanora,shining light.
Electra,shining or amber.
Elena,bright one.
Elene,light.
Eleni,torch.
Eleonora,shining.
Eleri,enough.
Elexis,defender.
Elgar,noble spearman.
Elgin,noble or white.
Eli,ascended or high.
Elia,God has answered.
Elian,sun.
Eliana,God has answered.
Elias,the Lord is my God.
Elice,Jehovah is God.
Elida,small winged one.
Elidure,golden.
Elie,God is my help.
Eliezer,God is my aid.
Elijah,Jehovah is my God.
Elin,bright light.
Elina,pure or intelligent.
Eline,noble.
Elinor,shining light.
Eliora,God is my light.
Eliot,Lord is my God.
eknath,one who is whole.
Elise,God is my oath.
Elisha,God is my salvation.
Eliska,vow to God.
Elissa,from the blessed isles.
Elita,chosen one.
Eliza,God is my oath.
Elizabeth,pledged to God.
Elizaveta,consecrated to God.
Elkan,God has created.
Elke,noble.
Ella,beautiful fairy.
Ellamae,bright.
Elle,she or woman.
Ellen,bright shining light.
Ellery,alder tree grove.
Elles,of the people.
Elli,noble.
Ellie,shining light.
Elliot,Jehovah is God.
Ellis,benevolent.
Ellison,son of Elias.
Ellsworth,noble's estate.
Elma,will-helmet.
Elmo,protector.
Elodie,marsh flower.
Eloise,famous warrior.
Elon,oak tree.
Elora,God is light.
Elroy,the king.
Elsa,noble.
Else,pledged to God.
Elsie,God is my oath.
Elson,son of Ellis.
Elspeth,chosen by God.
Elton,from the old town.
Elva,elf friend.
Elvan,colors.
Elvern,spring-like.
